product_uid,product_description
101031,"The carpet tiles are the best choice if you want a fashion forward, textured look at a great price for your home. Used as an area rug, hallway runner or wall to wall, this tile provides a solution that does not require an installer or a separate adhesive. You can create a new look in an afternoon with this peel & stick system. The 18 in. x18 in. tiles are cut with the ""perfect cut"" system, which ensures easy installation for a beautiful floor. The only tools you will need to install are a measuring tape, chalk line, utility knife with a sharp blade and a contractor square. Easily maintained by vacuuming or sweeping. In the event of a stubborn stain or damaged tile, simply replace the tile with a new one. This lightweight, low profile, unpadded tile can be used in basements, porches, exercise rooms, workrooms, and even outdoors. The soft to the touch tiles are made from 100% Eco-Fi recycled polyester so you can be comfy and stylish while still being environmentally responsible. Coordinating accent tiles are available in 5 additional colors allowing you to customize your space to reflect your personality and lifestyle.100% solution dyed polyester fiberSelf-adhesive backing for easy installationDurable Hobnail needle-punch construction made in the USAUV protected to help prevent fading - mold, mildew and stain resistant36 sq. ft. per case, 16 tiles per caseAppropriate for residential use"
101119,"The Rheem Performance 75 Gal. Natural Gas Tall Water Heater comes with a 75,100 BTU/hour environmentally friendly Low NOx burner that provides ample hot water for households with 5 or more people. The piezo ignition system ensures safe and easy startup. Its maintenance free combustion air intake system means there are no filters to clean and replace. A premium grade anode rod provides long-lasting tank protection. Factory installed temperature and pressure relief valve and 1 in. water connections are included with the water heater for easy installation.Due to ultra low NOx requirements from air quality management districts in the state of California, please confirm that your shipping zip code is not restricted from the use of items that do not meet local qualifications75 Gal. tank provides ample hot water for households with 5 or more peopleNatural gas water heater costs less to operate than electric modelsRecovery capacity: 72.8 GPH (delivers approximately 120 Gal. of hot water in the first hour), recovery capacity is based on a 100F water temperature rise and calculated per ANSI Z21.10.3 standards, first hour hot water delivery is based upon a 77 water temperature rise75 Gal. tank provides hot water for high demand applications and is ideal for large families6 year limited warranty on tank and parts for your convenience1 year in home labor warranty for peace of mindMaintenance free - no filter to clean or replacePiezo ignition system for no match lightingRated for installations up to 8,500 ft.Designed for easy replacement of your existing water heaterCall 1-855-400-2552 before noon for same-day service in most areas, or Visit our Water Heater Installation page for more information."
101123,"3M Pro Grade Precision Advanced abrasives are now better than ever thanks to the combination of no-slip grip backing and premium mineral technology. Ideal for paint, wood and metal surfaces. Rinse and reuse. 220 grit, 4 sheets per pack.Lasts 10X longer than 3M conventional sanding sheets of comparable gritAnti-load coating for long life66% less effort when compared to 3M conventional abrasive of comparable gritUse wet or dryLess hand fatigueBacking won't slip or slideRed color will not discolor the surface your sandingFor the best results, sand with the grain of the surface and work through a sequence of grits, from coarse to very fine, skipping no more than 1 grit between each sanding step (other grits not included)Click to see full product brochure."
101165,"With the Hampton Bay Walker 8 ft. x 5 ft. Steel Grill Gazebo, a true fan of grilling doesn't let the changing of the season stop them from having a perfectly cooked steak or delicious grilled vegetables. Built out of durable steel, this grill gazebo is able to withstand almost anything Mother Nature can throw at it and keep the snow, rain and leaves from mucking up your grill. The natural slate topped shelves on either side add form as well as function to this stunning structure, giving you room to set the steaks when they are done and your drink for when they're not. Lattice framing on one side gives you a convenient place to hang your grilling tools while built-in wine glass hangars on the other side help keep the festivities going for longer than ever before. Protect your grill, protect yourself, and get back outdoors to keep those mouth-watering grilled dishes coming all year long.Double tiered roofHeavy duty steel constructionRust resistant, powder coated steel frameStainless steel accessories included"
101391,"Maytag is all business when it comes to getting your largest loads evenly dried. You can count on this 7.0 cu. ft. Bravos dryer to handle any demanding job, and then keep everything ready to wear with features like the Wrinkle Control option. If that's not enough, it's packed with sturdy Maytag Commercial Technology and backed with a 10-year limited parts warranty on the drum and motor for the first time ever on a traditional dryer. The heavy-duty motor adds high-torque action with optimized airflow, while the IntelliDry sensor keeps an eye on moisture. Plus, the Sanitize cycle is great for those items you can't put through the washer.California residents: see&nbsp;Proposition 65 informationExtra-large 7.0 cu. ft. capacity dryer provides the space to evenly dry extra-large loads11 drying cycles, including sensor dry cycles and timed dry cycles, provide just the right care for your clothesDryer drum's powder-coat finish resists chipping and abrasion to help protect clothes from damageRear panel controls provide convenient access to all cycle and option selections5 temperature settings to handle variety of fabrics - delicate synthetics to heavyweight cottonThe IntelliDry sensor keeps an eye on moisture levels to automatically stop the cycle when clothes are dryWrinkle Control option is designed to dry clothes such as knits and permanent press fabrics, this cycle minimizes wrinkles by providing a longer unheated tumbling period at the end of the cycleAdjustable End of Cycle signal alerts you when the drying cycle has completedMaytag Commercial Technology. These dryers come standard with high-performance, commercial-grade partsInterior drum light illuminates the interior of the dryer to make loading and unloading easier. Reversible side-swing door increases installation optionsAmerican Pride. From Ohio to you: designed, engineered and assembled in the U.S.A. Buy with confidence knowing this model is dependably manufactured right here at homeDryer Duct and electrical cords are required for installation and will be offered separately during appliance checkoutClick Here for details on the services included with Delivery & Basic Hook-up and Installation options for Major Appliances"
101415,"The Honda 21 in. Nexite Deck Electric Start Gas Mower is self-propelled with variable-speed smart drive control. It features an electric start with self-charging battery. It offers tool-free adjustments for easier operation.Simple self-charging electric startMoney-saving 4-in-1 Versamow system (bag, mulch, discharge, leaf shred) no tools or costly attachments neededAdaptable 3-position quick-fold handles for comfort, convenient storage and transportReliable easy-start Honda GCV190 engineTime-saving micro cut twin blades reduce time emptying the bag thanks to finer clippings, meaning more clippings per bagful when mulching, as well as smaller clippings for faster decompositionHome Depot Protection Plan:"
101641,"The Glacier Bay 2-piece 1.28 GPF High-Efficiency Elongated Toilet in White is manufactured from durable vitreous china which is resistant to stains, acid and abrasions for long-lasting beauty. This 2-piece toilet comes with an elongated chair-height bowl for maximum comfort and has a white porcelain finish that blends with a wide range of bath or powder room decor styles. High-performance with plenty of flush power, this 2 piece toilet is easy to install and includes a toilet seat, wax ring and floor mounting bolt seat. Limited Lifetime Warranty.Durably made with stain, acid and abrasion resistant vitreous chinaHigh performance bowl design for superior flush power2 in. fully glazed trap-wayFeatures the quick connect easy installation system"
101813,"Reflecting the subtle style of the Naples collection by Foremost, this fully assembled Wall Cabinet in Warm Cinnamon boasts a wealth of storage possibilities. Behind its two craftsman-style doors in a warm cinnamon finish are two adjustable shelves for complete space customization, while a full-extension drawer offers additional space. Big on style and storage, the cabinet offers a perfect solution for organizing towels, bedding, bathroom accessories and more, keeping your space clean and clutter-free.26-1/2 in. W x 32-3/4 in. H x 8 in. D, offering an unobtrusive storage solution for any roomSturdy construction with solid wood, natural wood veneers and clean, low-emission engineered woodOne pull-down drawer adds hidden storage spaceTwo doors open to reveal two adjustable shelves to accommodate versatile itemsWarm cinnamon finish adds rich, elegant beauty to your decorBlack steel, birdcage-style door handles offer a striking designer touchFully assembled for convenienceSecure-Mount hanging system firmly attaches cabinet to wallCoordinates with other pieces in the Naples collection to complete your ensemble"
101823,"Roberts 128 fl. oz. 6700 Indoor and Outdoor Carpet Adhesive is rated for residential and commercial areas with heavy traffic. The solvent-free, nonflammable formula is water resistant when cured.Adheres to indoor and outdoor carpets, plywood, asphalt paving, fiberglass, treated steel and concrete subfloorsRated for residential and commercial areas with heavy trafficSolvent free and nonflammable formula can be cleaned with warm, soapy water when wet24-hour dry timeWater resistant when curedWet adhesive can be cleaned from tools and flooring with warm, soapy waterSolvent free, zero VOC calculated, environmentally safe, non-flammable formulaExcellent grab with a strong, long lasting bond"
101901,"Highland arched aluminum loading ramps are 12 in. W by 90 in. L. The ramps have a 1,500 lb. capacity or 750 lb. distributed load per ramp and are made using durable, rustproof aluminum. Each ramp features adjustable safety straps for secure loading and smooth, safe rung design with embossed holes for extra traction. These ramps are excellent for loading tractors, ATVs and motorcycles.California residents: see&nbsp;Proposition 65 informationArched design for easier loading and unloading of low clearance mowersWide aluminum rungs provide a smooth transition into your truck or trailerEnhanced traction with 360 anti-slip ribs provide front-to-back and side-to-side tractionClose rung spacing supports wheels of all sizes1500 lb. capacity per pair of ramps"
102009,"The Homewerks Worldwide Lead Free Ball Valve is constructed of heavy forged brass and has a lever handle with Female connections on both ends. Designed for residential and commercial use on water air, steam, oil or gas. Full port for maximum flow and minimum pressure drops. This multi-purpose manual lever ball valve has excellent corrosion resistance and is fit for many applications.Lead free design is suitable for all potable water supply installationsAdjustable stem packing nutCSA certifiedThreaded end connections conform to ANSI/ASME B1.20.1"
102190,"The ultra-bright 52 LED UV Flashlight is an invaluable tool in the battle against Scorpions in your home. Scorpions have chemicals in their exoskeletons which glow under Ultraviolet (UV) or Blacklight. This enables us to find them in our yards and carpeting where they are camouflaged in the earth tones we see all around. This makes them easy to find and eliminate. The 52 LED light is a valuable means of pest control. The larger number of LEDs makes for a wider diameter of light. You can see the scorpions from further away. Do inspections more often in less time. The more LEDs you have, the faster you can cover a large area. The More You Illuminate, the More You Eliminate In addition to scorpion detection, this is an all-purpose blacklight that provides many methods of pest control in your home. The blacklight detects rat and mice urine. Also, pet stains that are not visible in the home become visible under blacklight. Scorpion Master 52 LED UV Flashlight can also be used for: Detecting counterfeit currency, Authenticating I.D.s and credit cards, Cleanliness inspections, much more. This Light has 52 LEDs, providing you with a long-lasting handheld source of UV light. The LEDs virtually never burn out and the low energy draw will make your 4 AAA alkaline batteries (included) last much longer than a standard flashlight bulb. With a durable aluminum construction, this flashlight will be reliable for years to come.UV light makes scorpions glow, see scorpions and eliminate themMany other uses, detect pet stains and counterfeit currency52 LEDs last long, cast wide beam4 AAA alkaline batteries includedPeak wavelength at 390nm"
102355,"The Series 50 Single Hung Fin new construction single hung window by American Craftsman, an Andersen company, is a tough, sturdy and adaptable high performance vinyl window. More than just a rugged window, it's a fully configurable system that is equipped with numerous options to make it versatile as well as easy to install. Built for reliable, energy saving performance, the Series 50 Single Hung Fin window provides builders and homeowners with an excellent value.Energy efficient designDual weather stripping creates a weather tight sealLow-maintenance vinyl never needs paintingThe bottom sash operatesEasy to clean tilt-in bottom sashFlat exterior frame convenient for lap siding or brick constructionCustom sizes availableBacked by a limited lifetime warranty for peace of mindActual size: 35-3/8 in. x 59-1/4 in.Nominal size: 3/0 in. x 5/0 in.Standard size: 36 in. x 60 in.RO: 35-7/8 in. x 59-3/4 in.PROFESSIONAL WINDOW INSTALLATION - CALL &nbsp1-855-892-4386&nbsp  to get started with a free in-home consultation or   learn more about our trusted window installation service."
102531,"Proslat's shelf and basket kit offers a variety of hanging solutions. Includes: 3 - 12 in. x 24 in. shelves (10018), 2- 15 in. x 10 in. baskets (10022). The metal shelves and baskets are designed to give you maximum storage flexibility to fit your needs. Designed exclusively to fit Proslat Panels.2.5 mm back plates designed to disperse the work load throughout the wallMade from high grade steelSilver powder-coated finish for increased resistanceBasket and shelf feature rounded cornersProslat wall panels accept most standard peg board and slat wall hooks and accessories, allowing you to upgrade over time"
102730,"Part of the Rubbermaid FastTrack Garage Organization System, the 25 in. Twin Track Upright expands your storage space vertically for versatile options. Used to install FastTrack Garage shelving, the upright mounts to the FastTrack Garage rail or can be mounted directly to a wall. Crafted with powder-coated steel for durability, the upright holds up to 300 lbs. and is designed to resist rust and other damage for lasting use.Holds up to 300 lbs.Used to install FastTrack Garage shelving; mounts to the FastTrack Garage rail or can be mounted directly to a wallDurable, powder-coated steel with epoxy finish resists rusting, chipping, peeling and crackingAdjustable design accommodates your expanding needsDue to a deeper upright depth and revised slot location for securing to the rail, the new design of the 25"" upright is not compatible with previous designs of FastTrack Garage uprights and extensionsBrackets and shelving sold separately"
102742,The 5 in. x 8 in. Steel Safety Plate features corrosion-resistant construction. The multi-purpose pipe safety device is designed for use with 1/2 in. piping applications.Steel bodySilver finishUse with 1/2 in. pipeResists corrosion
102792,"Seal-Krete Epoxy Seal is a ready-to-use, acrylic-epoxy blend formulated to resist hot tire pickup, chemicals, oil, grease and gasoline stains. This epoxy-fortified formula dries to a durable, UV-resistant, satin finish that resists scuffing, peeling, blistering and fading. Epoxy-Seal is easy to maintain, making it ideal for both interior and exterior high-traffic areas including garage floors, driveways, shop floors, basements, pool decks, walkways, patios, porches and more.Ready-to-useResists oil, chemicals, hot tire pickupHi-hideInterior/exteriorSoap and water clean-upActual paint colors may vary from on-screen and printer representationsOnline Price includes Paint Care fee in the following states: CA, CO, CT, MN, OR, RI, VT"
103017,"Bring grace and beauty to your dining room, kitchen or entryway with this 5-Light Chandelier from Hampton Bay. Steel fixture weaves intricate stem-and-leaf backdrop among delicate crystal drops for eye-appeal. Requires assembly and install (tools not included). Assembly and install parts include: 6 ft. chain, main fixture body, chain-link connector, mounting bracket, canopy, nipple, hex nuts, mounting screws, screw collar loop, threaded ring and wire nuts. UL-listed.Steel fixture in rich tuscan-copper finishHangs using included 6 ft. chainDrip candle covers offer authentic touch72 in. maximum hanging lengthUL listedHardware includedHome Depot Protection Plan:"
103105,"Ryobi introduces the RYOBI 34-Pieces Impact Rated Driving. These bits are composed of proprietary impact strength steel which means all of these bits are impacted rated and are ready to endure the toughest torque applications. To learn more about Ryobi tools go to Ryobitools.com and check out Ryobi Nation. See below for more information on this tool.California residents: see&nbsp;Proposition 65 informationThese bits offer up to 10X longer life and standard 1 in. insert bitsMagnetic bit holder ensures a secure bit hold for all of the 1 in. insert bits2 in. power bits, nut setters and socket adapters feature a power groove, allowing them to fit directly into all impact driver with quick connect colletsIncludes: 1 in. impact driving bits: P1, (5) P2, P3, Hex 1/8 in., Hex 5/32 in., SQ1, (3) SQ2, SQ3, T20 and (2) T25;2 in. impact driving bits: P1, (3) P2, P3, SQ1, (2) SQ2, SQ3 and (2) T25; magnetic nut drivers: 3/16 in., 1/4 in. and 5/16 in.; socket adaptorJoin Ryobi Nation and have an opportunity to win prizes, share your Ryobi power tool experiences and receive exclusive offers for Nation members, Just click on the link to get started https://www.ryobitools.com/nation"""
103212,"Create a festive holiday display with the 100-Light LED Warm White Icicle Light Set. Features 9-1/2 ft. of lights for a dazzling cascade effect. Connect up to 26 sets to cover your entire roofline with the convenience of one-plug decorating. Long-lasting and super-efficient LED lights use up to 80% less energy than traditional bulbs. Use them indoors or outdoors. Great way to introduce LED technology into the mix as the warm white color matches older, incandescent white Christmas lights.100 warm white lights provide an ambient glow9-1/2 ft. of lights with icicle drops spaced 3-1/2 in. apartEnergy-efficient, long-lasting LED bulbsContinuous on technology keeps the other lights lit, even when a bulb goes outConnect up to 26 sets together for a large displayPlugs into an outlet for easy power accessCan be used indoors or outdoors22-Gauge wire for durability"
103222,"Ascending alarm clock to wake even the most sound sleeper. Bright green display features 2 alarms and snooze button for the few extra minutes of rest. AC plug-in, but requires battery for power backup.LED measures 0.9 in. tallAlarm set button: dual, 1, 2, off9-minute snooze durationRequires 9V battery for power backup"
103698,"PureColor provides the ultimate performance in fiber with its virtually stain proof coloration, coupled with our soil resistant ""SoilShield"". PureColor will stay clean longer, clean easier and stay more vibrant. The attributes of PureColor combine to make a durable, high value, high performance carpet fiber. Innovation takes a step up with PureColor, the clear choice for value and performance.100% PureColor solution dyed BCF polyester carpetDeluxe - 10-year limited stain and soil warranty; 10-year limited abrasive wear warranty; 10-year limited texture retention warrantyPureColor solution dyed fiber provides inherent stain resistance and our exclusive SoilShield technologyManufactured from filament fiber to help minimize sheddingMade of solution dyed fiber creating a more vibrant, longer lasting color that resists fadingProfessional cleaning using a hot water extraction cleaning method is required every 12-18 months for coverage of limited warrantiesMachine TuftedFHA approvedSold in square yard incrementsPolypropylene backing for durability3/8 in. to 1/2 in. thick carpet pad with a 6 lb. or higher density is recommended for use with this productWarranties are non-transferable and cover only owner occupied residencesCarpet meets or exceeds CRI Green Label Plus Certification standards for interior air qualityClick below to visit our Flooring Estimator"
103733,"For that clean finished look to your lawn, you just can't beat a grass bag. Clippings are blown into the ventilated bag for easy handling and disposal. Manufactured for easy on and off of your mower's bag frame. Made especially for the Honda HRR Series Mower serial number range MZCG-8400001 and above.Durable ventilated bagFor use with Honda HRR series walk-behind lawn mowersRequires 81330-VL0-P00 bag frame (Sold Separately)Gray with Honda logoHonda genuine parts"
103851,"Carefree resin durability, while adding elegance to any outdoor living area. All lamps feature all resin construction with heavy weighted bases. Lamps are completely weatherproof and have a two level dimming switch. Choose from 24 decorator Sunbrella shade fabrics. Features: -Outdoor floor lamp -San Juan Collection -Available in white, bronze, or bisque body finishes -Choose from 24 Sunbrella shade fabrics -Antique beige linen -Silver linen -Canvas linen -Bessemer -Forest green -Soleil -Lacquer -Chili linen -Natural linen -Basil linen -Straw linen -Jockey red -Sky blue -Burgundy canvas -Palm -Melon canvas -Ebony -Teak -Brass -Spa -Buttercup -Aruba -Spring -Stardust linen -Waterproof resin construction -12 ft. weatherproof cord and plug -Two level dimming switch -Heavy weighted base -Uses (1) 100 watt max medium base bulb (not included) -One year manufacturer warranty -Shade dimensions: 7.5 in. H x 20 in. D -Overall dimensions: 60 in. H x 20 in. DShade dimensions: 7.5 in. H x 20 in. DHeavy weighted baseTwo level dimming switchOne year manufacturer warranty"
103863,"The Deluxe Sundown blind provides both room darkening and privacy. It is made from heavyweight PVC with additional slats for a tighter closure. The modern style features a round sleek head rail that offers a classic and chic appearance.Control how much sunlight streams into your room with the tilt wandHidden mounting brackets are designed for inside, outside or ceiling installationShips within 2-3 business daysDurable construction resists warping, fading and saggingBlind can easily be shortened by following the simple instructionsAll hardware and installation instructions are includedAdvanced design for tighter closureSpecially formulated to minimize dustAdditional slats for maximum privacyNon- lead formulaNot sure what size to buy? Click here to download a printable window treatment measuring guide!WARNING: The cords on this product present a potential strangulation hazard. For child and pet safety, consider cordless alternatives or products with inaccessible cords. To access a copy of the warning label, see additional images.Learn more about child and pet safety."
103919,"The Philips DuraMax 65-Watt Indoor Flood Light Bulb (3-Pack) can be used for a variety of your home or business's indoor lighting applications. These bulbs cast a soft, white glow making them ideal for accenting architecture and art. You can also use these flood bulbs in track or recessed lighting fixtures. They have a BR30 shape with a medium base.Brightness: 620 LumensEstimated yearly energy cost: $7.83 (based on 3 hours/day, 11/kWh. cost depend on rates and use)Life:2.3 years (based on 3 hours/day)Light appearance: 0K (soft white)Energy used: 65-WattLumens per Watt: 9.1Uses 0% less energy compared to a standard incandescent light bulbCan be used as a design tool to accent architecture and artDimmable for personalize lighting applicationsBR30 shape with a medium base"
103929,"This 2,800 sq. ft. Oscillating Sprinkler features a durable motor for years of oscillating power. The sprinkler is designed to eliminate puddling at either end and offers you the choice between 36 different spray patterns. Plastic sled with a metal spray component for durability.Assembled dimension: 15.25 in. W x 4.83 in. D x 3.13 in. HFor outdoor watering projectsRemovable yellow rubber plug makes jet cleaning easyAdjustable with 36 different spray patternsDurable motor for oscillating action3/4 in. fitting sizeNote: Product may vary by store"
103941,"Our 3 Strand Twisted Nylon Rope is a great all-purpose rope. Nylon is a strong, durable, UV resistant, rot and mildew resistant fiber. Nylon rope absorbs shock which makes it great for dock lines and anchor lines.Rot and mildew resistantStrong and durableA great all around ropeExcellent for dock lines, anchor line, or general purpose ropeWorking load 704 lbs."
104065,"The 1-gal Flat Latex Light Colors Exterior Paint can be applied to a wide array of outdoor surfaces including wood trim, masonry walls, weathered aluminum and vinyl siding and previously painted metal. This paint features a 100% acrylic base to help protect surfaces from damaging exterior elements, such as ultraviolet rays and mildew. 1 can of this paint covers an area up to 400 sq. ft. and requires just 1 hour to dry to the touch for fast task completion.California residents: see&nbsp;Proposition 65 informationSuitable for application on wood, masonry, aluminum, vinyl and metal100% acrylic latex base provides exceptional adhesion and durabilityLow-odor and low-VOC formula for safetyResists UV damage and mildew growth for long-lasting beauty1-gal. can covers 400 sq. ft.Low odor/low VOCActual paint colors may vary from on-screen and printer representationsOnline Price includes Paint Care fee in the following states: CA, CO, CT, MN, OR, RI, VT"
104071,"Use this Zinsco Thin Series 40-Amp Double-Pole Type-Z Circuit Breaker in applications rated up to 17,600-Watt, including 8 - 10 kW electric ranges, electric ovens, quick-recovery hot water heaters and central residential air conditioners. Compatible with #8 - 2 AWG copper wire sizes, this circuit breaker offers 40-Amp protection per pole.For use with applications up to 17,600-Watt including electric ranges, ovens, quick-recovery hot water heaters and central residential air conditioners2-pole design, 40 Amps per poleSuitable for Zinsco load centers120/240 VAC, SWD ratedCompatible with #8 - 2 AWG copper wire sizes"
104087,"This item is a replacement part for Knaack Chests. It is utilized to support the top when the chest is in the open position. The gas springs can be painted to match the storage chest.Package of 2Fits chest model numbers: 89, 90, 91, 119Ball studs for gas springs are sold separately as 921-4PKSteel finish"
104145,"LectraLock products are made in the USA and carry a lifetime warranty. Our unique design is extremely child-resistant and durable, making this product the perfect permanent replacement for your old wall plate. The bezels are of ultra-modern design and will add value and beauty to your home. We offer a wide variety of colors and models to suit your needs. The LectraLock LDM1-7 model fits all standard duplex style (single screw) type electrical outlets. The flat cover is intended to prevent the outlet from being used. Although the cover snaps into place by hand, a tool (such as a screwdriver) is required to remove it. This device offers a semi-permanent means of removing outlets from use without actually removing the wiring or receptacle as is required with a standard blanking plate. Each LectraLock electrical outlet protector arrives ready for quick and easy installation - immediately transforming your unprotected electrical outlets into quality electrical safety products with a wide range of benefits.Made in the USAQuick and easy installationAdult removable - child-resistant coverAttractive designAllows blanking of outlet without removing electrical connections or receptaclePrevents electrical outlet from being usedLow profile cover snaps in easily but requires a screwdriver to removeHelps safeguard your children and pets from electrical hazardsSuperior quality/value - lifetime guaranteeFlame retardant materialUL listed"
104169,"Everbilt's Decorative Sliding Door Hardware adds an upscale look to ordinary doors and doorways in the home, office or place of business by incorporating barn door style doors and functionality. Ideal for closets, interior doors and room dividers. The set includes all mounting hardware and hanging components needed for one door. The high density plastic wheels provide a smooth, quiet operation and a high quality feel.California residents: see&nbsp;Proposition 65 informationMade of steelDark oil-rubbed bronze finishAll mounting hardware includedFor single door with a thickness of 1-3/8 in. and 1-3/4 in. and up to 200 lbs.Ideal for openings up to 36 in. wide; openings wider than 36 in. require multiple tracksUnique barn door style hardware enables door to slide parallel to wallHigh density plastic wheels provide ultra-quiet experienceAnti-jump discs prevent hanger wheels from jumping off the trackIncludes detailed, easy to follow instructionsDoor not includedAdapter kit (part # 14465) lets you connect 2 or more tracks"
104470,Use this 1 in. x 1 in. x 8 ft. Redwood Garden Stake to support tomato or other young plants as they grow in your garden. The pointed end makes this naturally weather-resistant stake easy to install. Redwood is naturally insect resistant. Redwood is strong and durable. Tree stakes have a variety of uses.25 pieces per packageNatural color with pointed endsPerfect plant supportLong lasting redwood
