product_uid,name,value
100003.0,Built-in flange,Yes
100003.0,Bullet01,Slightly narrower for tighter spaces
100003.0,Bullet02,Designed with an 18 in. apron
100003.0,Bullet03,"Durable high-gloss finish provides a smooth, shiny surface that is easy to clean"
100003.0,Bullet04,Conforms to ANSI Z124.1.2 and CSA B45.1 national consensus standards
100003.0,Bullet05,"Curve wall with a smooth, contemporary look, featuring integrated storage shelves"
100003.0,Caulkless,No
100003.0,Certifications and Listings,"ANSI Certified,ASTM Compliant,CSA Certified"
100003.0,Color Family,White
100003.0,Color/Finish,White
100003.0,Construction,Four piece
100003.0,Drain Included,No
100003.0,Drain Location,Right
100003.0,Exterior bath shape,Rectangle
100003.0,Faucet mount,Wall
100003.0,Height from Floor (in.),75.25
100003.0,Installation Type,Direct-to-stud
100003.0,Material,Composite
100003.0,Maximum Number of Occupants,1
100003.0,MFG Brand Name,STERLING
100003.0,Product Weight (lb.),129
100003.0,Shape,Rectangle
100003.0,Shower Depth (in.),33.25
100003.0,Shower Height (in.),75.25
100003.0,Shower Width (in.),60.25
100003.0,Slip-resistant tub floor,No
100003.0,Tub Depth (in.),20
100003.0,Tub Height (in.),18
100003.0,Tub Length (in.),60
100003.0,Tub Width (in.),33.25
100003.0,Wall Height (in.),54
100003.0,Water capacity (gallons),55
100004.0,Amperage (amps),8.56
100004.0,Bullet01,Positive power tolerance (0 to +5-Watt)
100004.0,Bullet02,Anti-reflective and anti-soiling surface reduces power loss from dirt and dust
100004.0,Bullet03,Outstanding performance in low-light irradiances environments
100004.0,Bullet04,Certified to withstand high wind and snow loads
100004.0,Bullet05,100% electroluminescence inspection ensures modules are defect free
100004.0,Bullet06,Positive and negative leads quipped with MC4 connectors
100004.0,Charge controller included,No
100004.0,Electrical Product Type,Solar Power Panel
100004.0,Inverter included,No
100004.0,Low voltage audible alarm,No
100004.0,MFG Brand Name,Grape Solar
100004.0,Mounting frame included,No
100004.0,Number of Panels,4
100004.0,Panel Height (in.),1.57
100004.0,Panel length (in.),64.96
100004.0,Panel weight (lb.),40
100004.0,Panel Width (in.),39
100004.0,Portable,No
100004.0,Product Depth (in.),64.96
100004.0,Product Height (in.),1.57
100004.0,Product Width (in.),39
100004.0,Solar panel type,Polycrystalline silicon panel
100004.0,Voltage (volts),30.96
100004.0,Wattage (watts),265
100005.0,Bath Faucet Type,Combo Tub and Shower
100005.0,Built-in Water Filter,No
100005.0,Bullet01,"Includes the trim kit only, the rough-in kit (R10000-UNBX) is sold separately"
100005.0,Bullet02,Includes the handle
100005.0,Bullet03,Maintains a balanced pressure of hot and cold water even when a valve is turned on or off elsewhere in the system
100005.0,Bullet04,"Due to WaterSense regulations in the state of New York, please confirm your shipping zip code is not restricted from use of items that do not meet WaterSense qualifications"
100005.0,Certifications and Listings,"ADA Compliant,CSA Certified,IAPMO Certified"
100005.0,Color Family,Chrome
100005.0,Color/Finish,Chrome
100005.0,Connection size (in.),1/2 In.
100005.0,Faucet Features,No Additional Features
100005.0,Faucet Included Components,"Handles,Pressure Balance/Scald Guard"
100005.0,Faucet type,Bath Faucet
100005.0,Flow rate (gallons per minute),2.5
100005.0,Handle type,Lever
100005.0,MFG Brand Name,Delta
100005.0,Number of Faucet Handles,Single Handle
100005.0,Number of showerheads,1
100005.0,Number of Spray Settings,1
100005.0,Product Depth (in.),15.28
100005.0,Product Height (in.),24
100005.0,Product Width (in.),7.09
100005.0,Showerhead face diameter (in.),4.06
100005.0,Showerhead type,Fixed Mount
100005.0,Spray Pattern,Rain
100006.0,Appliance Type,Over the Range Microwave
100006.0,Assembled Depth (in.),18.5 in
100006.0,Assembled Height (in.),17.13 in
100006.0,Assembled Width (in.),29.94 in
100006.0,Bullet01,Spacious 1.9 cu. ft. capacity accommodates dinner plates and casserole dishes with ease
100006.0,Bullet02,1100 watts of cooking power and 10 cooking levels make cooking and reheating a snap
100006.0,Bullet03,"400 CFM venting system whisks smoke, steam and odors away from the cooktop to keep your kitchen air clear"
100006.0,Bullet04,"Single piece door with built-in touch-activated control console streamlines the exterior for a sleek, modern look and easy cleanup"
100006.0,Bullet05,"Cook with confidence with the Sensor and Programmed cooking cycles and options. Sensor cycles include: Steam/Simmer, AccuPop and Potato for fast prep of family favorites"
100006.0,Bullet06,"Kids' Menu: it's simple, it's fast. The Kids' Menu is preset with cooking times and power levels for a variety of favorites like pizza and chicken nuggets. Now after school snacks don't have to be an afternoon hassle"
100006.0,Bullet07,"TimeSavor Plus True Convection cooking uses a 1600-watt element and a fan to circulate heat over, under and around food for fast cooking and even browning"
100006.0,Bullet08,Industry leading CleanRelease non-stick interior requires no special cleaners. A damp cloth or sponge is all that’s needed to remove cooked-on spills and splashes
100006.0,Bullet09,Recessed turntable's on/off feature is especially helpful when cooking with plates that are larger than the turntable
100006.0,Bullet10,Automatic interior incandescent light and large window help you track cooking progress
100006.0,Bullet11,"4-speed fan with Auto Vent Fan function. To keep the microwave oven from overheating, the vent fan will automatically turn on at high speed if the temperature from the range or cooktop below the microwave oven gets too hot"
100006.0,Bullet12,Replaceable charcoal and dishwasher safe mesh filters takes grease and other impurities out of the air
100006.0,Bullet13,90° hinge. With this innovative hinge design you can install this model next to a wall and still open the door easily
100006.0,Bullet14,Limited 1-year warranty
100006.0,Bullet15,Convertible venting. Can be installed as vented or non-vented (recirculating) to fit a variety of installation needs
100006.0,Bullet16,"AccuPop cycle senses the perfect pop every time. It adapts cooking time using a sound sensor that measures the time between pops so you don't have to worry about bag size or excessive unpopped kernels. Now you can finally watch the movie, not the microwave"
100006.0,Bullet17,"Included items: convection rack, SureMist steamer and cooking rack. Included cooking rack lets you microwave on two levels, so you can cook several items at once"
100006.0,Capacity of Microwave (cu. ft.),1.9
100006.0,Certifications and Listings,1-UL Listed
100006.0,Color/Finish,Stainless Steel
100006.0,Color/Finish Family,Stainless
100006.0,Cut-Out Front to Back Width (in.),12
100006.0,Cut-Out Height (in.),17.13
100006.0,Cut-Out Left to Right Length (in.),30
100006.0,Door Swing/Style,Right to Left Swing
100006.0,Exhaust Fan Speeds,4
100006.0,Exhaust Maximum CFM,400
100006.0,MFG Brand Name,Whirlpool
100006.0,Microwave Door Release,Pull
100006.0,Microwave Features,"Charcoal Filter,Clock,Convection,Cooktop Lighting,Interior Light,Microwave Rack,Nightlight,One Touch Cooking,Removable Filter,Steam Cook,Timer,Turntable,Turntable On/Off Option"
100006.0,Microwave Size,30 in.
100006.0,Number of One-Touch Settings,6
100006.0,Number of Power Levels,10
100006.0,Oven Settings,"Defrost,Keep Warm,Sensor Cook"
100006.0,Product Depth (in.),18.5
100006.0,Product Height (in.),17.13
100006.0,Product Weight (lb.),67.1
100006.0,Product Width (in.),29.94
100006.0,Safety Listing,UL
100006.0,Sensor Cook,Yes
100006.0,Turntable,Yes
100006.0,Turntable Diameter,14
100006.0,Vent Type,Convertible
100006.0,Wattage (watts),1100
100007.0,Battery Power Type,Ni-Cad
100007.0,Battery Size,.Built-In
100007.0,Bulb Type Included,LED
100007.0,Bullet01,Advanced LED technology is dependable and energy efficient
100007.0,Bullet02,2 adjustable heads allow you to direct light where it is needed
100007.0,Bullet03,"Engineering-grade thermoplastic housing is impact-resistant, scratch-resistant and corrosion-proof"
100007.0,Bullet04,Integrated LEDs means no bulbs are required
100007.0,Bullet05,Typical life of the LEDs is 10 years of maintenance-free operation
100007.0,Bullet06,Black housing has a compact low-profile design
100007.0,Bullet07,"Sealed, maintenance-free Ni-cad battery delivers 90 minute capacity to the LEDs"
100007.0,Bullet08,Dual voltage input capability (120 to 277-volt)
100007.0,Bullet09,Easily installs to wall or ceiling
100007.0,Bullet10,UL damp-location listed
100007.0,Certifications and Listings,"1-UL Listed,OSHA Compliant"
100007.0,Commercial Light Type,Exit and Emergency
100007.0,Connection Type,Hardwired
100007.0,Emergency run time (min.),90
100007.0,ENERGY STAR Certified,No
100007.0,Fixture Color/Finish,Black
100007.0,Fixture Color/Finish Family,Black
100007.0,Lamp heads,Yes
100007.0,Light Source,LED
100007.0,Material,Plastic
100007.0,Maximum Wattage (watts),0
100007.0,MFG Brand Name,Lithonia Lighting
100007.0,Number of Bulbs Required,0
100007.0,Product Depth (in.),2.75
100007.0,Product Height (in.),4.25
100007.0,Product Weight (lb.),1.5
100007.0,Product Width (in.),10.25
100008.0,Assembled Depth (in.),.375 in
100008.0,Assembled Height (in.),1.5 in
100008.0,Assembled Width (in.),.375 in
100008.0,Bullet01,For metal to metal fastening
100008.0,Bullet02,Ideal for use with metal of a thicker gauge
100008.0,Bullet03,"Use with HVAC, electrical and door applications"
100008.0,Bullet04,Screws tap their own heads
100008.0,Bullet05,Steel construction
100008.0,Bullet06,1-1/2 in. long
100008.0,Bullet07,Zinc-plated
100008.0,Coated,N
100008.0,Drive Style,External Hex
100008.0,Driver bit included,No
100008.0,Fastener Callout Size,#10 x 1-1/2 In.
100008.0,Fastener Head Style,Hex
100008.0,Fastener length (in.),1.5
100008.0,Fastener Plating,Zinc
100008.0,Fastener Thread Type,Standard
100008.0,Fastener Type,Self-Drilling Screw
100008.0,Fastener/Connector Material,Steel
100008.0,Finish,Zinc-plated
100008.0,Finish Family,Metallic
100008.0,Head diameter (in.),.375
100008.0,Head Style,Flange Hex
100008.0,Indoor/Outdoor,Indoor/Outdoor
100008.0,Measurement Standard,SAE
100008.0,MFG Brand Name,Teks
100008.0,Package Quantity,90
100008.0,Primary Use,Metal to metal fastening
100008.0,Product Weight (lb.),.012
100008.0,Screw Length,1-1/2 in
100008.0,Self drilling,Yes
100008.0,Self tapping,Yes
100008.0,Size,#10
100008.0,Tamper Resistant,No
100009.0,Application,Door & Window
100009.0,Bullet01,Made of primed MDF
100009.0,Bullet02,Can be painted to match your decor
100009.0,Bullet03,Resistant to moisture
100009.0,Bullet04,For interior use
100009.0,Bullet05,96 in. Length
100009.0,Color Family,White
100009.0,Flexible,No
100009.0,Interior/Exterior,Interior
100009.0,Kits,No
100009.0,Material,Medium Density Fiberboard (MDF)
100009.0,MFG Brand Name,House of Fara
100009.0,Moisture Resistant,Yes
100009.0,Moulding Features,Moisture Resistant
100009.0,Moulding Type,Casing
100009.0,Paintable/Stainable,Yes
100009.0,Pattern Number,8583
100009.0,Prefinished,No
100009.0,Pro Pack,No
100009.0,Product Depth (in.),0.75
100009.0,Product Height (in.),96
100009.0,Product Length (in.),96
100009.0,Product Width (in.),3
100009.0,Rot Resistant,No
100009.0,Sell Pack Options,Single Item
100009.0,Termite Resistant,No
100009.0,Wood Veneer,No
100010.0,Attachable,No
100010.0,Bullet01,Can be used with all valley View lawn edgings and brick/ paver edgings
100010.0,Bullet02,Utility stakes can be used for many purposes
100010.0,Bullet03,Galvanized steel for strength
100010.0,Bullet04,9 in. length
100010.0,Bullet05,Priced competitively yet provides much more value in product
100010.0,Color Family,Metallic
100010.0,Color/Finish,Silver/Gray
100010.0,Hardware Included,No
100010.0,Landscape Supply Type,Non Concrete Edging
100010.0,Material,Steel
100010.0,MFG Brand Name,Valley View Industries
100010.0,Package Quantity,4
100010.0,Product Depth (in.),1
100010.0,Product Height (in.),9
100010.0,Product Width (in.),1
100010.0,Width,1 in
100011.0,Assembled Depth (in.),59 in
100011.0,Assembled Height (in.),44 in
100011.0,Assembled Width (in.),23 in
100011.0,Blade Length (In.),22 in
100011.0,Bullet01,"Recycler cutting system - front throw chamber and atomic blade lift, suspend and re-cut clippings into a fine mulch for a healthy, lush lawn"
100011.0,Bullet02,22 in. steel deck with atomic blade
100011.0,Bullet03,Briggs & Stratton 7.25 ft. lbs. gross torque 190cc engine with ready start - no need to prime or choke
100011.0,Bullet04,Personal pace self-propel system senses and smoothly adjusts to your preferred walking pace
100011.0,Bullet05,"3-in-1: mulch, side discharge or bag"
100011.0,Bullet06,Bag-on-demand - quickly switch from mulching to bagging in seconds by flipping the quick-change lever
100011.0,Bullet07,Rear wheel drive self propel provides better traction in all cutting conditions - let the mower do the work
100011.0,Bullet08,Washout port - attach a hose to the mower deck to easily clean the underside of the deck
100011.0,Bullet09,"""Quick connect"" bagging system"
100011.0,Bullet10,9 cutting positions with 1-4 in. cutting height range to manicure the lawn to your specifications
100011.0,Bullet12,"3-year guaranteed-to-start and 2-year full warranty, see retailer for details"
100011.0,Bullet13,"Gross torque of this engine was laboratory rated at 2800 rpm per SAE J1940 by the engine manufacturer, as configured to meet safety, emission, and operating requirements, the actual engine torque on this class of mower will be significantly lower"
100011.0,Bullet20,Note: product may vary by store
100011.0,CA (CARB) Compliant,CARB Compliant
100011.0,Cutting Options,"Bag,Mulch,Side-Discharge"
100011.0,Cutting Width (in.),22
100011.0,Drive type,Rear-wheel Drive
100011.0,Engine Displacement (cc),190
100011.0,Engine Make,Briggs and Stratton
100011.0,Features,"Bagger,Deck cleanout,Foldable handle,Tool-free adjustments"
100011.0,Fuel tank capacity (gallons),.25
100011.0,Fuel Type,Gas
100011.0,Included,Engine oil
100011.0,Lawn Mower Type,Walk Behind
100011.0,Maximum cutting height (in.),4
100011.0,MFG Brand Name,Toro
100011.0,Minimum cutting height (in.),1
100011.0,Mulching Capability,Yes
100011.0,Number of adjustable handlebar positions,1
100011.0,Number of Blades,1
100011.0,Oil capacity (oz.),20
100011.0,Product Weight (lb.),80
100011.0,Rear wheel size (in.),8
100011.0,Reconditioned,No
100011.0,Size of Yard,1/4 - 1/2 Acre
100011.0,Start Type,Pull
100011.0,Terrain,Flat with Obstacles
100011.0,Walk Behind Mower Type,Self Propelled
100012.0,Actual Blind/Shade Width (In.),96
100012.0,Arched,No
100012.0,Bullet01,96 in. W x 72 in. L
100012.0,Bullet02,Actual Blind Width is 96 in.
100012.0,Bullet03,No deductions are made to this blind - the actual width of this blind is the same as width ordered
100012.0,Bullet04,"For an Inside Mount, fits windows: 96 in. Wide"
100012.0,Bullet05,"For an Outside mount, order the width of the overall area to be covered"
100012.0,Bullet06,Shade provides privacy and the perfect amount of light
100012.0,Bullet07,Ships within 2-3 business days
100012.0,Bullet08,Bamboo slats held by a dark weave cord for warm tones and natural beauty
100012.0,Bullet09,Natural materials may vary slightly in color
100012.0,Bullet10,Rolls up easily when you want to let in additional sunlight
100012.0,Bullet11,Installs in minutes with the included simple hook hardware
100012.0,Bullet12,Filters out light for energy-efficient insulation
100012.0,Bullet13,"Includes a 6 in. matching valance, a color coordinated weaving thread and pull cords"
100012.0,Bullet14,Decorating Tip: Add depth and texture to a room by layering textured window shades under curtain panels or cornice boards
100012.0,Bullet15,"Decorating Tip: To make your windows look larger, you can hang this shade outside the molding or up to the ceiling"
100012.0,Bullet21,"<b>WARNING:</b> The cords on this product present a potential strangulation hazard. For child safety, consider cordless alternatives or products with inaccessible cords. To access a copy of the warning label, see additional images."
100012.0,Certifications and Listings,ANSI Certified
100012.0,Color Family,Tan
100012.0,Color/Finish,Caramel
100012.0,Color/Finish Family,Browns/Tans
100012.0,Cordless/Corded,Corded
100012.0,Decor Product Type,Window Treatment
100012.0,Enclosure Type,No Enclosure
100012.0,Features,Routless
100012.0,Fire retardant,No
100012.0,Front Color,Fruitwood
100012.0,Hardware Included,Yes
100012.0,Included,No Additional Items Included
100012.0,Light Control,Light Filtering
100012.0,Material,Bamboo
100012.0,MFG Brand Name,Hampton Bay
100012.0,Minimum window depth required (in.),1.75
100012.0,Mount Type,Inside/Outside
100012.0,Opening type,Bottom up
100012.0,Orientation,Horizontal
100012.0,Pre-Cut Deduction (in.),0
100012.0,Pre-Cut or True-to-Size Blind,True-to-Size
100012.0,Product Depth (in.),1
100012.0,Product Height (in.),72
100012.0,Product Length (in.),72
100012.0,Product Weight (lb.),9.15
100012.0,Product Width (in.),96
100012.0,Slat/vane width (in.),96
100012.0,Stain Resistant,No
100012.0,Surface,Textured
100012.0,Washable,No
100012.0,Width (in) x Length (in),96 x 72
100012.0,Window Treatment Product Type,Natural/Woven Roman Blind/Shade
100013.0,Bullet01,"Kit includes satin nickel, chrome and white finish buttons to complement decor"
100013.0,Bullet02,Compatible with disposers that have AC below the sink
100013.0,Bullet03,Suitable for kitchen island installations
100013.0,Bullet04,Includes the fittings required to install a single outlet sink top switch
100013.0,Bullet05,"Additional button finishes available include gloss black, biscuit, mocha bronze, oil-rubbed bronze, matte black, and french gold"
100013.0,Color Family,Black
100013.0,Color/Finish,Black
100013.0,Kitchen Product Type,Disposal Accessory
100013.0,MFG Brand Name,InSinkErator
100013.0,Product Depth (in.),4
100013.0,Product Height (in.),8
100013.0,Product Width (in.),7.25
100014.0,Base Spread (in.),10
100014.0,Bullet01,Folds up for easy storage virtually anywhere
100014.0,Bullet02,300 lbs. Load capacity
100014.0,Bullet03,"Comfortable, solid standing surface"
100014.0,Bullet04,Easy to use
100014.0,Certifications and Listings,No Certifications or Listings
100014.0,Ladder Height (ft.),1
100014.0,Ladder Rating,Not Rated
100014.0,Ladder Type,Step Stool
100014.0,Ladders/Scaffolding Features,Foldable
100014.0,Load weight capacity,300 lb.
100014.0,Material,Plastic
100014.0,MFG Brand Name,Rubbermaid
100014.0,Nonslip tread,1
100014.0,Number of Steps,1
100014.0,Product Weight (lb.),3
100014.0,Rung/Step Depth,8.75
100014.0,Step rise (in.),8.5
100015.0,Bullet01,Pest resistant
100015.0,Bullet02,Strong and durable
100015.0,Bullet03,Easy installation
100015.0,Bullet04,Treatment: Fencing is not treated. Always apply a good quality; oil based UV-resistant wood sealant using a brush for best application
100015.0,Bullet05,"Approx. 1 in. diameter, natural color"
100015.0,Bullet06,Heavy duty galvanized steel wires
100015.0,Color Family,Tan
100015.0,Color/Finish,Bamboo Tan
100015.0,Fence Application,"Decorative,Garden,Privacy"
100015.0,Garden Fencing Type,Split Bamboo Fence
100015.0,Landscape Supply Type,Garden Fencing
100015.0,Material,Bamboo
100015.0,MFG Brand Name,Backyard X-Scapes
100015.0,Package Quantity,1
100015.0,Product Depth (in.),1
100015.0,Product Height (in.),72
100015.0,Product Width (in.),72
100016.0,Approximate Depth (ft.),8
100016.0,Approximate Width (ft.),5
100016.0,Assembled Depth (in.),96.45 in
100016.0,Assembled Height (in.),98.4 in
100016.0,Assembled Width (in.),60.6 in
100016.0,Bullet01,Vented canopy
100016.0,Bullet02,Built in lattice work is great for holding grill accessories
100016.0,Bullet03,2 built in tile shelves
100016.0,Bullet04,Versatile design will coordinate easily
100016.0,Bullet05,"Durable, powder coated finish"
100016.0,Bullet06,"Low maintenance, easy to clean"
100016.0,Color Family,Blacks
100016.0,Frame Material,Steel
100016.0,MFG Brand Name,Sunjoy
100016.0,Outdoor Living Product Type,Gazebo
100016.0,Product Weight (lb.),101.43
100016.0,Shape,Rectangular
100017.0,Bullet01,"Use to repair door or window screens, or add stylish accents to room dividers and cabinet fronts"
100017.0,Bullet02,Lightweight and sturdy construction
100017.0,Bullet03,Easy to cut and form
100017.0,Bullet04,Rust resistant
100017.0,Bullet05,36 in. x 36 in. x 1/50 in.
100017.0,Bullet06,Mill aluminum finish
100017.0,Bullet07,Stylish cloverleaf design
100017.0,Corrosion Resistant,Yes
100017.0,Fastener Type,Metal Stock
100017.0,Finish Family,Silver Metallic
100017.0,Indoor/Outdoor,Indoor/Outdoor
100017.0,Material,Aluminum
100017.0,Measurement Standard,SAE
100017.0,Metal Stock Type,Sheet Metal
100017.0,MFG Brand Name,MD Building Products
100017.0,Package Quantity,1
100017.0,Perforated,Yes
100017.0,Product Depth (in.),0.02
100017.0,Product Height (in.),36
100017.0,Product Length (in.),36 in
100017.0,Product Thickness (in.),0.02
100017.0,Product Weight (lb.),1.188 lb
100017.0,Product Width (in.),36 in
100017.0,Weldable,No
100017.0,Width (in) x Length (in),36in x 36 in
100018.0,Bullet01,Size: 3.25 in. diameter x 2.75 in. tall
100018.0,Bullet02,Threaded sprinkler head easily attaches
100018.0,Bullet03,Color: white
100018.0,Bullet04,Made in the USA
100018.0,Capacity (gallons),2
100018.0,Color Family,White
100018.0,Material,Plastic
100018.0,MFG Brand Name,Bloem
100018.0,Product Depth (in.),3.25
100018.0,Product Height (in.),2.75
100018.0,Product Width (in.),5.25
100018.0,Spout Length (in.),2.75
100019.0,Application,Wall
100019.0,Bullet01,"MDF kit includes, 1-piece 8 ft. chairrail, 1-piece 8 ft. base and 16 pieces 32 in. panels"
100019.0,Bullet02,Overlapping wainscot
100019.0,Bullet03,Primed and ready to be painted to your preference
100019.0,Bullet04,Easy to install instructions included
100019.0,Bullet05,Kit includes chair rail and base moulding
100019.0,Color Family,White
100019.0,Color/Finish,White
100019.0,Finish Type,Primed
100019.0,Material,Medium Density Fiberboard (MDF)
100019.0,MFG Brand Name,House of Fara
100019.0,Paneling/Planking Features,Tongue and Groove
100019.0,Paneling/Planking Style,Beadboard
100019.0,Paneling/Planking Type,Wainscoting Kit
100019.0,Product Depth (in.),0.312
100019.0,Product Height (in.),32
100019.0,Product Thickness (in.),0.312
100019.0,Product Width (in.),5.906
100019.0,Quantity,18
100020.0,Bulb Type Included,LED
100020.0,Bullet01,Great LED technology
100020.0,Bullet02,5 watt
100020.0,Bullet03,"Last for 30,000 hours"
100020.0,Bullet04,CSA and UL approved
100020.0,Certifications and Listings,"1-UL Listed,CSA Listed"
100020.0,Color/Finish Family,White
100020.0,Connection Type,Plug-in
100020.0,ENERGY STAR Certified,No
100020.0,Fixture Color/Finish,White
100020.0,Fixture Material,Plastic
100020.0,Hardware Included,Yes
100020.0,Light Source,LED
100020.0,Linkable,Yes
100020.0,Maximum Wattage (watts),0
100020.0,MFG Brand Name,BAZZ
100020.0,Mounting Method,Adhesive
100020.0,Product Depth (in.),12
100020.0,Product Height (in.),0.25
100020.0,Product Weight (lb.),1.23
100020.0,Product Width (in.),0.5
100020.0,Slim line,Yes
100020.0,Under Cabinet Light Type,Strip Light
100021.0,Assembled Depth (in.),6 in
100021.0,Assembled Height (in.),2.25 in
100021.0,Assembled Width (in.),2.25 in
100021.0,Bullet01,Spray distance from 8 ft. to 15 ft.
100021.0,Bullet02,"Patented close-in watering for most efficient uniform water coverage, resulting in the elimination of dry brown spots"
100021.0,Bullet03,Heavy-duty stainless-steel spring helps ensure flush retraction
100021.0,Bullet04,Pop-up sprinkler head features a top-adjustment screw to adjust the spray distance
100021.0,Bullet05,4 in pop-up height
100021.0,Bullet06,Dual spray technology for water efficiency
100021.0,Bullet07,Reduces water waste in windy conditions
100021.0,Bullet20,Note: Product may vary by store.
100021.0,Color Family,Blacks
100021.0,Irrigated,Yes
100021.0,Irrigation System Component,Sprinkler
100021.0,Maximum Coverage Area (sq ft.),353
100021.0,Maximum Spray Distance (ft.),15
100021.0,MFG Brand Name,Rain Bird
100021.0,Pressure Rating,70 psi
100021.0,Product Diameter (in.),2.25 in
100021.0,Retracted Height (in.),5.9
100021.0,Retraction Spring,Yes
100021.0,Riser Required,Yes
100021.0,Sprinkler Location,Below ground
100021.0,Sprinkler Type,Pop-Up
100022.0,Amperage (amps),15
100022.0,Appliance Type,Front Load Washer
100022.0,Assembled Depth (in.),33 in
100022.0,Assembled Height (in.),38.7 in
100022.0,Assembled Width (in.),27 in
100022.0,Bullet01,4.2 cu. ft. DOE stainless steel basket handles bigger loads to let you enjoy more time in the living room instead of the laundry room
100022.0,Bullet02,Stainless steel diamond drum won't rust or damage clothing
100022.0,Bullet03,Sanitizing cycle for a cleaner wash ensures the right water temperature and activates the NSF sanitize cycle for 99.9% bacteria-free laundry
100022.0,Bullet04,Steam for stains option is available with the allergen cycle and uses a combination of water temperature and steam to provide the optimal environment for detergent enzymes to work on removing organic stains
100022.0,Bullet05,"Features nine cycles: eco wash, normal, heavy duty, permanent press, sanitize, bedding, deep steam, delicates and wool"
100022.0,Bullet06,ENERGY STAR- and CEE Tier 3-rated
100022.0,Bullet07,Electronic controls provide easy 1-touch operation and cycle display time
100022.0,Bullet08,Preset cycles allow you to customize your soil and spin levels to provide ideal wash settings for the best results
100022.0,Bullet09,Automatic water level adjustment helps save on energy costs
100022.0,Bullet10,Delay start feature begins operation when it’s most convenient for your schedule
100022.0,Bullet11,"Vibration-reduction technology with special sensors keep the drum balanced, so you hardly know the washer is on"
100022.0,Bullet12,Ergonomic front-load design makes loading and unloading simple and easy
100022.0,Bullet13,Stackable design provides all-in-1 vertical look to maximize floor space
100022.0,Bullet14,Pedestal shown in product image is not included with purchase and is offered separately during appliance checkout
100022.0,Bullet15,"Can only be used with high-efficiency detergent, typically two tablespoons per load"
100022.0,Bullet16,Please note: The Home Depot will not hook up your washer with used fill hoses; new fill hoses will be offered during appliance checkout.
100022.0,Capacity - Washer (cu. ft.),4.2
100022.0,Capacity- Front Load Washer (cu ft),4.2
100022.0,Certifications and Listings,"1-UL Listed,ANSI Certified,CSA Certified,NSF Listed"
100022.0,Color/Finish,White
100022.0,Color/Finish Family,White
100022.0,Control Type,Electronic
100022.0,Cycle - Allergen,Yes
100022.0,Depth With Door Open 90 Degrees (In),50.8
100022.0,Door Opening Height (In.),11.75
100022.0,Door Opening Width (In.),22
100022.0,Door Style,Left Swing
100022.0,Energy Consumption (kWh/year),93
100022.0,Energy Efficiency Tier Rating,Tier III
100022.0,ENERGY STAR Certified,Yes
100022.0,High Efficiency Washer,Yes
100022.0,High-Efficiency Detergent Required,Yes
100022.0,Included Items,"Hoses,Power Cord"
100022.0,Maximum Spin Speed (RPM),1200
100022.0,MFG Brand Name,Samsung
100022.0,Number of Rinse Cycles,3
100022.0,Number of Rinse Temperatures,1
100022.0,Number of Wash Cycles,9
100022.0,Number of Wash Speeds,4
